day,crime_date,mo,da,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,NUM_CRIMES
5,2016-01-01,01,01,25.3,16.2,1024.2,9.5,13.0,15.9,25.1,30.0,19.9,0.0,2.0,0,1153
6,2016-01-02,01,02,28.6,19.2,1020.0,10.0,9.2,14.0,999.9,33.1,21.9,0.0,2.0,0,576
7,2016-01-03,01,03,28.8,18.7,1019.1,10.0,10.9,19.0,24.1,33.1,24.1,0.0,2.0,0,618
1,2016-01-04,01,04,28.5,17.3,1029.7,9.8,10.5,17.1,22.9,32.0,25.0,0.0,2.0,0,626
2,2016-01-05,01,05,27.5,16.9,1034.6,10.0,8.3,13.0,20.0,34.0,21.0,0.0,1.2,0,627
3,2016-01-06,01,06,31.1,20.3,1027.6,10.0,7.0,11.1,999.9,39.0,25.0,0.0,1.2,0,626
4,2016-01-07,01,07,38.6,24.3,1020.7,10.0,6.3,8.9,999.9,43.0,36.0,0.0,1.2,0,706
5,2016-01-08,01,08,41.9,34.6,1012.2,6.5,5.8,8.9,999.9,45.0,39.0,0.0,1.2,0,742
6,2016-01-09,01,09,40.5,37.2,1009.1,3.0,6.2,9.9,999.9,46.4,33.1,0.18,999.9,1,650
7,2016-01-10,01,10,20.6,13.1,1013.5,8.7,15.6,20.0,31.1,34.0,8.1,0.27,1.2,0,597
1,2016-01-11,01,11,8.3,-0.8,1019.8,8.7,9.8,15.0,21.0,21.9,1.9,0.0,1.2,0,513
2,2016-01-12,01,12,16.2,6.3,1016.0,6.2,14.3,21.0,33.0,26.6,8.1,0.06,2.0,0,548
3,2016-01-13,01,13,9.0,-0.1,1021.3,9.9,8.2,12.0,17.1,24.1,1.9,0.0,2.0,0,654
4,2016-01-14,01,14,33.9,24.8,1007.5,10.0,8.6,14.0,22.9,45.0,23.0,0.0,1.2,0,734
5,2016-01-15,01,15,41.1,34.5,998.5,9.0,10.8,15.9,21.0,45.0,34.0,0.0,999.9,0,733
6,2016-01-16,01,16,30.4,20.3,1008.8,9.3,11.2,15.9,22.0,34.0,27.0,0.02,999.9,0,651
7,2016-01-17,01,17,9.6,-3.8,1018.7,10.0,13.6,20.0,25.1,25.0,3.2,0.0,999.9,0,537
1,2016-01-18,01,18,2.8,-10.8,1027.3,10.0,11.5,17.1,21.0,10.0,-2.0,0.0,999.9,0,515
2,2016-01-19,01,19,8.1,-5.3,1032.9,10.0,6.4,13.0,19.0,18.0,1.9,0.0,999.9,0,610
3,2016-01-20,01,20,18.8,8.5,1028.4,8.0,2.9,6.0,999.9,25.0,12.9,0.03,1.2,0,619
4,2016-01-21,01,21,21.3,12.6,1028.5,9.6,2.7,6.0,999.9,32.0,16.0,0.0,1.2,0,634
5,2016-01-22,01,22,27.3,18.6,1026.1,7.4,7.6,15.9,999.9,32.0,21.0,0.0,1.2,0,701
6,2016-01-23,01,23,30.0,19.0,1024.0,9.7,6.5,14.0,999.9,35.6,25.0,0.01,1.2,0,722
7,2016-01-24,01,24,29.1,18.3,1017.5,10.0,7.5,14.0,20.0,37.0,24.1,0.0,999.9,0,675
1,2016-01-25,01,25,34.3,25.4,1012.5,8.9,7.2,14.0,21.0,41.0,28.9,0.0,999.9,0,744
2,2016-01-26,01,26,33.5,27.0,1012.9,7.3,14.3,22.0,28.9,43.0,28.9,0.06,999.9,0,640
3,2016-01-27,01,27,29.1,16.6,1023.3,10.0,9.8,14.0,21.0,34.0,26.1,0.0,999.9,0,669
4,2016-01-28,01,28,35.7,26.0,1007.7,9.9,13.4,19.0,28.0,41.0,33.1,0.0,999.9,0,751
5,2016-01-29,01,29,30.5,14.5,1013.8,10.0,9.0,14.0,20.0,36.0,24.1,0.0,999.9,0,746
6,2016-01-30,01,30,39.9,29.0,1006.1,10.0,8.9,15.0,22.0,48.9,34.0,0.0,999.9,0,742
7,2016-01-31,01,31,44.6,39.2,1002.8,8.1,7.6,12.0,999.9,48.9,39.9,0.0,999.9,0,665
1,2016-02-01,02,01,37.1,30.2,1014.8,9.5,5.4,14.0,20.0,46.9,30.9,0.02,999.9,0,852
2,2016-02-02,02,02,37.1,31.5,1018.1,5.6,9.2,18.1,22.0,42.1,35.1,0.0,999.9,0,614
3,2016-02-03,02,03,37.3,33.6,1002.0,5.3,9.8,17.1,25.1,39.9,33.1,0.74,999.9,1,682
4,2016-02-04,02,04,28.1,16.6,1022.4,9.8,10.0,15.0,21.0,33.1,21.0,0.0,999.9,0,670
5,2016-02-05,02,05,30.5,20.7,1027.6,9.5,6.3,9.9,999.9,34.0,27.0,0.0,999.9,0,660
6,2016-02-06,02,06,32.3,22.4,1026.3,9.2,7.3,13.0,999.9,42.1,26.1,0.0,999.9,0,695
7,2016-02-07,02,07,39.8,28.6,1013.5,10.0,10.1,19.0,25.1,46.0,34.0,0.0,999.9,0,617
1,2016-02-08,02,08,32.4,23.4,1006.2,9.9,8.9,14.0,999.9,43.0,28.0,0.0,999.9,0,570
2,2016-02-09,02,09,20.4,11.8,1010.5,5.8,11.0,15.9,19.0,28.0,17.1,0.0,1.2,0,545
3,2016-02-10,02,10,15.2,2.4,1017.8,9.6,11.1,15.0,22.0,19.0,10.9,0.0,1.2,0,565
4,2016-02-11,02,11,15.4,-0.8,1026.1,10.0,7.1,9.9,999.9,24.1,9.0,0.0,1.2,0,582
5,2016-02-12,02,12,21.0,5.2,1024.6,9.8,10.4,22.0,27.0,25.0,18.0,0.0,999.9,0,646
6,2016-02-13,02,13,11.5,-9.0,1035.4,10.0,11.8,22.0,33.0,19.0,3.9,0.0,999.9,0,597
7,2016-02-14,02,14,15.8,1.9,1030.6,7.7,8.8,15.0,22.0,19.0,12.9,0.0,1.2,0,514
1,2016-02-15,02,15,22.5,17.7,1014.1,4.0,6.9,11.1,20.0,28.9,17.1,0.01,1.2,0,553
2,2016-02-16,02,16,29.2,22.3,1011.1,5.8,3.6,8.0,999.9,37.0,26.1,0.0,1.2,0,625
3,2016-02-17,02,17,30.8,20.9,1021.5,7.7,5.9,8.9,999.9,36.0,27.0,0.03,1.2,0,641
4,2016-02-18,02,18,32.5,21.3,1027.8,9.9,9.5,22.0,28.9,42.1,26.1,0.0,999.9,0,681
5,2016-02-19,02,19,50.2,34.6,1007.2,10.0,20.9,33.0,48.0,64.9,39.9,0.0,999.9,0,775
6,2016-02-20,02,20,51.2,30.9,1010.9,10.0,11.8,21.0,34.0,60.1,42.1,0.0,999.9,0,702
7,2016-02-21,02,21,41.5,30.9,1018.4,10.0,9.3,13.0,18.1,53.1,36.0,0.0,999.9,0,706
1,2016-02-22,02,22,36.7,25.5,1022.8,10.0,4.2,9.9,999.9,45.0,28.0,0.0,999.9,0,639
2,2016-02-23,02,23,37.9,24.6,1020.2,9.6,6.1,13.0,999.9,46.0,30.9,0.0,999.9,0,630
3,2016-02-24,02,24,36.4,26.2,1009.3,7.0,19.9,31.1,42.9,39.9,32.0,0.0,2.0,1,578
4,2016-02-25,02,25,34.4,23.8,1011.8,6.8,16.2,21.0,34.0,37.9,32.0,0.04,1.2,0,699
5,2016-02-26,02,26,32.7,15.3,1023.8,10.0,10.1,18.1,25.1,35.1,28.0,0.0,999.9,0,740
6,2016-02-27,02,27,38.1,24.4,1017.0,10.0,10.6,15.9,22.9,55.0,28.0,0.0,999.9,0,691
7,2016-02-28,02,28,52.2,36.5,1003.3,10.0,14.4,24.1,33.0,64.0,44.1,0.0,999.9,0,624
1,2016-02-29,02,29,42.1,28.9,1010.7,10.0,14.6,22.0,31.1,60.1,34.0,0.05,999.9,0,646
2,2016-03-01,03,01,29.8,22.8,1013.9,7.8,16.2,22.0,29.9,36.0,24.1,0.05,999.9,1,817
3,2016-03-02,03,02,23.2,6.8,1021.4,10.0,7.2,15.0,20.0,33.1,14.0,0.01,999.9,0,607
4,2016-03-03,03,03,31.2,23.5,1019.6,4.8,6.9,11.1,999.9,33.1,28.9,0.04,1.2,0,616
5,2016-03-04,03,04,31.9,19.4,1022.5,9.8,7.2,14.0,18.1,39.0,23.0,0.01,1.2,0,702
6,2016-03-05,03,05,34.6,27.1,1019.3,6.4,8.0,13.0,22.0,39.9,28.9,0.03,1.2,0,699
7,2016-03-06,03,06,40.8,29.1,1023.0,9.6,8.9,18.1,24.1,53.1,35.1,0.0,999.9,0,714
1,2016-03-07,03,07,52.6,38.9,1012.7,10.0,11.1,15.9,22.9,62.1,46.9,0.0,999.9,0,794
2,2016-03-08,03,08,63.2,48.0,1011.6,10.0,12.2,19.0,28.0,73.0,57.9,0.0,999.9,0,723
3,2016-03-09,03,09,62.1,53.8,1010.8,9.7,9.4,14.0,20.0,69.1,59.0,0.06,999.9,0,679
4,2016-03-10,03,10,50.1,40.1,1017.5,9.9,7.9,14.0,999.9,60.1,45.0,0.0,999.9,0,716
5,2016-03-11,03,11,44.1,33.0,1027.0,10.0,5.4,8.9,999.9,53.1,37.0,0.0,999.9,0,733
6,2016-03-12,03,12,46.1,37.3,1022.6,6.8,4.3,9.9,999.9,60.1,37.9,0.0,999.9,0,746
7,2016-03-13,03,13,48.0,43.5,1011.5,5.7,7.5,14.0,999.9,51.1,46.0,0.07,999.9,0,628
1,2016-03-14,03,14,46.3,43.6,1005.7,6.0,4.7,8.0,999.9,54.0,43.0,0.79,999.9,0,684
2,2016-03-15,03,15,52.1,45.1,1006.5,6.6,7.4,14.0,24.1,64.0,46.9,0.11,999.9,0,713
3,2016-03-16,03,16,54.7,40.6,1000.6,9.3,19.8,32.1,45.1,61.0,48.9,0.22,999.9,0,745
4,2016-03-17,03,17,50.0,27.3,1010.3,10.0,14.1,20.0,31.1,57.9,43.0,0.13,999.9,0,738
5,2016-03-18,03,18,42.9,26.6,1016.9,10.0,9.1,15.9,22.9,53.1,35.1,0.0,999.9,0,791
6,2016-03-19,03,19,39.5,29.6,1021.5,10.0,7.3,12.0,999.9,46.9,36.0,0.0,999.9,0,699
7,2016-03-20,03,20,38.8,25.5,1022.6,10.0,9.4,15.0,22.0,45.0,33.1,0.0,999.9,0,685
1,2016-03-21,03,21,40.1,22.9,1021.3,10.0,4.8,8.0,999.9,50.0,32.0,0.0,999.9,0,699
2,2016-03-22,03,22,52.1,30.6,1010.0,10.0,11.9,18.1,24.1,66.9,45.0,0.0,999.9,0,722
3,2016-03-23,03,23,45.7,35.9,1009.3,7.6,11.0,15.0,20.0,63.0,39.9,0.0,999.9,0,686
4,2016-03-24,03,24,38.7,36.8,1004.1,3.5,9.4,20.0,28.0,43.0,34.0,0.17,999.9,1,677
5,2016-03-25,03,25,35.8,25.6,1016.0,10.0,8.5,17.1,29.9,45.0,30.9,1.0,999.9,0,716
6,2016-03-26,03,26,42.7,31.7,1021.2,10.0,6.5,13.0,999.9,55.0,35.1,0.0,999.9,0,735
7,2016-03-27,03,27,50.2,37.9,1015.2,9.6,7.2,15.9,25.1,66.0,42.1,0.0,999.9,0,631
1,2016-03-28,03,28,46.2,36.0,1016.3,10.0,9.7,15.0,22.0,53.1,44.1,0.17,999.9,0,741
2,2016-03-29,03,29,45.9,30.4,1025.2,10.0,3.7,12.0,999.9,60.1,35.1,0.0,999.9,0,739
3,2016-03-30,03,30,51.4,34.1,1014.4,9.6,11.2,22.0,29.9,62.1,46.0,0.0,999.9,0,716
4,2016-03-31,03,31,60.9,54.0,995.8,8.8,15.2,22.0,42.0,70.0,55.0,0.39,999.9,0,754
5,2016-04-01,04,01,45.1,36.9,1005.6,9.8,8.1,20.0,27.0,55.0,39.9,0.05,999.9,0,826
6,2016-04-02,04,02,36.8,23.8,1007.3,8.0,16.1,33.0,49.0,43.0,32.0,0.1,999.9,0,651
7,2016-04-03,04,03,43.1,20.7,1012.9,10.0,12.0,25.1,36.9,72.0,28.9,0.01,999.9,0,706
1,2016-04-04,04,04,40.4,28.1,1014.4,8.9,16.0,22.0,31.1,9999.9,33.1,0.0,999.9,0,660
2,2016-04-05,04,05,36.1,17.5,1029.9,10.0,8.5,13.0,22.9,46.9,28.9,0.0,999.9,0,675
3,2016-04-06,04,06,46.3,36.0,1008.5,8.4,10.6,15.0,21.0,50.0,43.0,0.08,999.9,0,660
4,2016-04-07,04,07,41.3,33.4,1004.8,8.4,11.9,19.0,24.1,46.9,35.1,0.38,999.9,0,742
5,2016-04-08,04,08,38.9,26.7,1011.1,9.6,10.3,22.0,26.0,44.1,35.1,0.01,999.9,0,626
6,2016-04-09,04,09,31.1,14.1,1022.4,9.4,12.2,21.0,33.0,37.9,24.1,0.08,1.2,0,689
7,2016-04-10,04,10,39.1,26.7,1015.6,8.9,11.8,17.1,24.1,48.9,33.1,0.01,999.9,0,704
1,2016-04-11,04,11,49.3,37.6,1011.5,7.9,9.7,18.1,22.0,52.0,46.0,0.12,999.9,0,676
2,2016-04-12,04,12,41.4,21.0,1025.6,10.0,7.6,12.0,17.1,50.0,33.1,0.0,999.9,0,701
3,2016-04-13,04,13,44.7,26.6,1027.3,10.0,7.3,14.0,15.0,57.0,37.0,0.0,999.9,0,714
4,2016-04-14,04,14,50.2,27.3,1024.8,10.0,7.7,11.1,14.0,61.0,39.9,0.0,999.9,0,690
5,2016-04-15,04,15,55.2,32.5,1023.2,10.0,7.3,11.1,999.9,69.1,45.0,0.0,999.9,0,811
