"","day","temp","visib","wdsp","prcp","sndp","fog","NUM_CRIMES"
"2",6,28.4,10,5.1,0,999.9,0,0.347648261758691
"3",7,34.3,4.9,4.9,0.08,999.9,0,0.296523517382413
"4",1,30.6,2.9,9.2,0.54,2,0,0.0224948875255624
"5",2,4.5,10,11.3,0.03,1.2,0,0.0408997955010225
"6",3,9.2,6.7,8,0.11,2,0,0
"9",6,10.3,7.1,15,0.05,3.1,0,0.177914110429448
"10",7,8,10,11.6,0,2,0,0.294478527607362
"11",1,27.7,9.2,10,0,3.1,0,0.298568507157464
"12",2,26.3,6.8,8.7,0.15,3.9,0,0.212678936605317
"13",3,19.3,8.3,9.1,0.03,3.1,0,0.222903885480573
"14",4,13.5,9.8,5.3,0,3.1,0,0.351738241308793
"15",5,23.5,9.7,9.1,0,3.1,0,0.531697341513292
"16",6,29.3,8.5,6,0,3.1,0,0.423312883435583
"17",7,36.8,8.3,12.1,0,1.2,0,0.486707566462168
"18",1,38.7,10,10.9,0,999.9,0,0.398773006134969
"19",2,34,10,4.5,0,999.9,0,0.419222903885481
"20",3,36.6,6.7,4.3,0,999.9,0,0.593047034764826
"21",4,34.2,5.7,7.2,0.01,999.9,0,0.494887525562372
"22",5,32.2,9.8,4.8,0,999.9,0,0.50920245398773
"23",6,31.7,8.2,10.2,0,999.9,0,0.607361963190184
"24",7,35.1,9.7,8.5,0,999.9,0,0.517382413087935
"25",1,34.1,6.4,10.3,0,1.2,0,0.292433537832311
"26",2,25.9,9,7.3,0.06,1.2,0,0.312883435582822
"27",3,29.3,5.8,6.1,0.04,1.2,0,0.351738241308793
"28",4,28.7,10,6.8,0,999.9,0,0.292433537832311
"29",5,36.1,9.3,12.7,0.03,999.9,0,0.408997955010225
"30",6,29.7,9.8,9.2,0,999.9,0,0.431492842535787
"31",7,30.3,10,6.5,0,999.9,0,0.2719836400818
"32",1,31.8,1.4,11.2,0.25,13,1,0.120654396728016
"34",3,16.7,8.9,7.5,0,16.9,1,0.016359918200409
"35",4,25.4,4.5,6.4,0.05,16.1,0,0.151329243353783
"36",5,11.4,10,7.1,0,15,0,0.141104294478528
"37",6,20.2,9.8,9.4,0,14.2,0,0.394683026584867
"38",7,33.6,9.6,7.2,0,11,0,0.359918200408998
"39",1,38.5,7.1,7.8,0,5.1,0,0.229038854805726
"40",2,29.3,6.9,13.4,0,3.9,0,0.212678936605317
"41",3,28.4,9.6,7.1,0,3.9,0,0.257668711656442
"42",4,32.6,8.9,10,0,3.1,0,0.210633946830266
"43",5,18.3,9.4,13.8,0,3.1,0,0.220858895705521
"44",6,14.5,10,8.4,0,3.1,0,0.263803680981595
"45",7,21.1,9.2,15.9,0,3.1,0,0.192229038854806
"46",1,7.3,7.6,9.4,0,3.1,0,0.100204498977505
"47",2,12.8,10,4.2,0,3.1,0,0.0695296523517382
"48",3,18.2,8.7,9.1,0,3.1,0,0.192229038854806
"49",4,9.6,9.9,12.8,0,3.1,0,0.016359918200409
"51",6,7,9.3,8.8,0,3.1,0,0.302658486707566
"52",7,23.4,9.3,6.3,0,3.1,0,0.304703476482618
"53",1,24.3,9,8.7,0,3.1,0,0.184049079754601
"54",2,7.7,10,9.8,0,3.1,0,0.141104294478528
"55",3,13.9,10,12.6,0,3.1,0,0.255623721881391
"56",4,24.1,8.9,7.9,0,3.1,0,0.139059304703476
"57",5,20.2,3.1,11.5,0.06,7.1,1,0.0286298568507157
"58",6,10,10,6.7,0,5.9,0,0.276073619631902
"59",7,11,10,4.6,0,5.9,0,0.0858895705521472
"60",1,22,7.3,5.1,0,5.9,0,0.517382413087935
"61",2,23.8,10,6.6,0.01,5.1,0,0.316973415132924
"62",3,30.7,6.5,10.6,0.04,3.9,0,0.2719836400818
"63",4,26.6,10,10.4,0.06,3.9,0,0.120654396728016
"64",5,15.2,10,8.9,0,3.9,0,0.222903885480573
"65",6,14.7,10,10.4,0,3.9,0,0.427402862985685
"66",7,34.1,10,10.6,0,2,0,0.396728016359918
"67",1,37.1,10,6.7,0,1.2,0,0.249488752556237
"68",2,40,10,4.7,0,1.2,0,0.456032719836401
"69",3,43.9,4.6,6.2,0,999.9,1,0.511247443762781
"70",4,44.7,6.5,6.5,0,999.9,1,0.496932515337423
"71",5,44.9,10,6.5,0,999.9,0,0.507157464212679
"72",6,50.6,10,6.3,0,999.9,0,0.6359918200409
"73",7,52.5,9.7,8.2,0,999.9,0,0.603271983640082
"74",1,47.6,10,6.7,0,999.9,0,0.562372188139059
"75",2,61.3,10,11.7,0,999.9,0,0.56441717791411
"76",3,44.1,10,15,0,999.9,0,0.386503067484663
"77",4,38.8,10,4.3,0,999.9,0,0.38241308793456
"78",5,44.4,10,7.4,0,999.9,0,0.437627811860941
"79",6,44,9.3,7.8,0,999.9,0,0.556237218813906
