day,crime_date,mo,da,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,NUM_CRIMES
1,2018-01-01,01,01,-0.5,-11.3,1041.1,10.0,9.2,11.1,17.1,10.0,-7.1,0.0,2.0,0,934
2,2018-01-02,01,02,-2.8,-10.6,1038.6,10.0,9.2,15.0,999.9,7.0,-9.9,0.0,2.0,0,560
3,2018-01-03,01,03,12.2,3.5,1021.9,8.1,11.0,15.0,20.0,18.0,1.0,0.0,2.0,0,575
4,2018-01-04,01,04,8.3,-2.6,1026.7,9.6,11.1,15.0,999.9,14.0,1.9,0.0,2.0,0,602
5,2018-01-05,01,05,5.3,-5.3,1030.8,10.0,9.2,17.1,999.9,12.0,0.0,0.0,2.0,0,664
6,2018-01-06,01,06,6.7,-5.4,1037.1,10.0,5.5,8.0,999.9,17.1,-0.9,0.0,2.0,0,586
7,2018-01-07,01,07,17.7,7.3,1027.7,9.6,11.1,15.9,26.0,30.9,6.1,0.0,1.2,0,533
1,2018-01-08,01,08,34.0,29.8,1016.2,6.5,12.0,15.0,21.0,37.0,30.9,0.03,1.2,0,619
2,2018-01-09,01,09,30.5,28.2,1023.6,3.9,6.0,13.0,999.9,34.0,28.0,0.0,1.2,1,652
3,2018-01-10,01,10,38.6,37.6,1016.6,2.4,10.6,18.1,29.9,52.0,30.0,0.0,1.2,1,720
4,2018-01-11,01,11,56.6,53.9,1006.5,8.7,15.9,22.0,32.1,60.8,45.0,0.01,999.9,0,700
5,2018-01-12,01,12,24.3,18.2,1017.7,9.4,16.8,25.1,35.9,36.0,21.0,0.14,999.9,0,707
6,2018-01-13,01,13,14.0,-0.3,1034.8,9.4,12.5,21.0,28.0,21.9,8.1,0.0,999.9,0,617
7,2018-01-14,01,14,13.2,0.6,1037.6,9.8,6.4,14.0,21.0,21.9,7.0,0.0,999.9,0,564
1,2018-01-15,01,15,19.0,14.6,1024.7,2.5,10.8,15.9,20.0,24.8,12.9,0.02,1.2,0,528
2,2018-01-16,01,16,14.4,8.1,1032.4,4.7,10.2,14.0,19.0,25.0,6.1,0.01,1.2,0,614
3,2018-01-17,01,17,14.3,7.3,1034.8,9.8,8.2,15.0,999.9,21.0,5.0,0.0,1.2,0,649
4,2018-01-18,01,18,22.6,12.7,1022.8,9.9,14.9,19.0,27.0,33.1,17.1,0.0,1.2,0,626
5,2018-01-19,01,19,32.6,21.7,1013.9,10.0,12.5,19.0,25.1,39.0,28.0,0.0,1.2,0,709
