"","day","year","mo","da","temp","visib","wdsp","prcp","sndp","fog","NUM_CRIMES"
"96",2,2015,4,6,55,10,6.3,0,999.9,0,676
"97",3,2015,4,7,43.6,5.1,10.5,0.11,999.9,0,603
"98",4,2015,4,8,47.2,3.2,7.6,0.04,999.9,1,679
"99",5,2015,4,9,54.6,4.3,9.1,0.21,999.9,0,648
"100",6,2015,4,10,54.5,9.8,19.2,0.82,999.9,0,714
"101",7,2015,4,11,50.5,10,7.2,0,999.9,0,720
"102",1,2015,4,12,58.8,10,8,0,999.9,0,773
"103",2,2015,4,13,63.3,9.8,10.5,0.11,999.9,0,735
"104",3,2015,4,14,58.2,10,5.1,0.03,999.9,0,767
"105",4,2015,4,15,56,10,9.6,0,999.9,0,798
"106",5,2015,4,16,54.8,8.8,7.1,0.34,999.9,0,686
"107",6,2015,4,17,62.4,9.1,3.8,0,999.9,0,785
"108",7,2015,4,18,62.3,10,7.4,0,999.9,0,769
"109",1,2015,4,19,57.5,9.4,8.7,0,999.9,0,703
"110",2,2015,4,20,50.8,7,14.1,0.42,999.9,0,743
"111",3,2015,4,21,47.6,10,16.2,0,999.9,0,663
"112",4,2015,4,22,42.2,9.9,12.7,0,999.9,0,682
"113",5,2015,4,23,44.5,10,7.9,0,999.9,0,731
"114",6,2015,4,24,47.5,10,4.3,0,999.9,0,761
"115",7,2015,4,25,45.9,8.8,13.1,0.29,999.9,0,695
"116",1,2015,4,26,47.1,10,10.7,0.34,999.9,0,718
"117",2,2015,4,27,49.1,10,11.9,0,999.9,0,721
"118",3,2015,4,28,49.1,10,5.4,0,999.9,0,718
"119",4,2015,4,29,52.3,10,5.2,0,999.9,0,766
"120",5,2015,4,30,48,10,12.1,0,999.9,0,666
"121",6,2015,5,1,52.2,10,5.5,0,999.9,0,951
"122",7,2015,5,2,64.9,10,5.8,0,999.9,0,686
"123",1,2015,5,3,70.1,10,8.5,0,999.9,0,745
"124",2,2015,5,4,67.8,10,8.4,0.2,999.9,0,779
"125",3,2015,5,5,56.1,5.8,7.2,0.78,999.9,0,696
"126",4,2015,5,6,60.1,3.6,5.4,0.01,999.9,1,739
"127",5,2015,5,7,71.2,9.9,7.8,0,999.9,0,826
"128",6,2015,5,8,73.9,9.9,7.8,0,999.9,0,807
"129",7,2015,5,9,60.4,6.3,7.2,0.59,999.9,0,685
"130",1,2015,5,10,50.3,5.7,7.7,0.18,999.9,0,741
"131",2,2015,5,11,59.9,8.7,9.4,0.05,999.9,0,748
"132",3,2015,5,12,54.2,10,15.3,0.14,999.9,0,757
"133",4,2015,5,13,49.6,10,9.3,0,999.9,0,767
"134",5,2015,5,14,55.3,10,8.7,0,999.9,0,755
"135",6,2015,5,15,67.6,9.7,9.8,0.16,999.9,0,822
"136",7,2015,5,16,72.9,10,6,0.03,999.9,0,882
"137",1,2015,5,17,74.9,8.3,11.3,0,999.9,0,836
"138",2,2015,5,18,74.6,10,12.9,0,999.9,0,758
"139",3,2015,5,19,51.4,10,10.5,0,999.9,0,707
"140",4,2015,5,20,46.2,10,9.1,0,999.9,0,729
"141",5,2015,5,21,54.7,10,7.3,0.02,999.9,0,745
"142",6,2015,5,22,60.5,10,7.5,0,999.9,0,824
"143",7,2015,5,23,65.7,10,6.7,0,999.9,0,798
"144",1,2015,5,24,68.8,9.7,5.4,0.01,999.9,0,687
"145",2,2015,5,25,74.3,9.8,12.8,0.43,999.9,0,708
"146",3,2015,5,26,73.3,9.4,10.9,0.06,999.9,0,771
"147",4,2015,5,27,70.9,9.8,11.7,0.42,999.9,0,737
"148",5,2015,5,28,72,10,5.3,0.06,999.9,0,800
"149",6,2015,5,29,75.7,9.6,8.7,0,999.9,0,828
"150",7,2015,5,30,66,7.7,10.3,0.23,999.9,0,719
"151",1,2015,5,31,48.7,6.4,15.6,0.77,999.9,0,666
"152",2,2015,6,1,53.5,10,9.2,0.02,999.9,0,954
"153",3,2015,6,2,58,10,4.6,0,999.9,0,772
"154",4,2015,6,3,65.3,10,6,0,999.9,0,777
"155",5,2015,6,4,71,10,7.2,0,999.9,0,721
"156",6,2015,6,5,66.8,9.3,11,0,999.9,0,786
"157",7,2015,6,6,62.4,9.9,9.6,0,999.9,0,758
"158",1,2015,6,7,68.2,9.3,9.3,0,999.9,0,739
"159",2,2015,6,8,74.9,9.7,11.3,0.44,999.9,0,681
"160",3,2015,6,9,72,9.7,5.9,0.1,999.9,0,731
"161",4,2015,6,10,81.7,10,11.5,0.08,999.9,0,793
"162",5,2015,6,11,72.1,9.7,6.2,0.01,999.9,0,802
"163",6,2015,6,12,65.9,4.1,6.1,0.28,999.9,0,827
"164",7,2015,6,13,69.7,6.4,5.8,0.09,999.9,1,813
"165",1,2015,6,14,75.9,8.5,7.2,1.44,999.9,0,794
"166",2,2015,6,15,76.4,9,6.7,1.54,999.9,1,739
"167",3,2015,6,16,70.4,8.6,8.5,1.75,999.9,0,847
"168",4,2015,6,17,63.5,8.7,4,0,999.9,0,722
