"","day","temp","visib","wdsp","prcp","sndp","fog","NUM_CRIMES"
"1",5,22.3,10,15,0,999.9,0,1222
"2",6,28.4,10,5.1,0,999.9,0,673
"3",7,34.3,4.9,4.9,0.08,999.9,0,648
"4",1,30.6,2.9,9.2,0.54,2,0,514
"5",2,4.5,10,11.3,0.03,1.2,0,523
"6",3,9.2,6.7,8,0.11,2,0,503
"7",4,5.4,10,15.4,0,2,0,474
"8",5,0.4,8.2,13.2,0,3.1,0,448
"9",6,10.3,7.1,15,0.05,3.1,0,590
"10",7,8,10,11.6,0,2,0,647
"11",1,27.7,9.2,10,0,3.1,0,649
"12",2,26.3,6.8,8.7,0.15,3.9,0,607
"13",3,19.3,8.3,9.1,0.03,3.1,0,612
"14",4,13.5,9.8,5.3,0,3.1,0,675
"15",5,23.5,9.7,9.1,0,3.1,0,763
"16",6,29.3,8.5,6,0,3.1,0,710
"17",7,36.8,8.3,12.1,0,1.2,0,741
"18",1,38.7,10,10.9,0,999.9,0,698
"19",2,34,10,4.5,0,999.9,0,708
"20",3,36.6,6.7,4.3,0,999.9,0,793
"21",4,34.2,5.7,7.2,0.01,999.9,0,745
"22",5,32.2,9.8,4.8,0,999.9,0,752
"23",6,31.7,8.2,10.2,0,999.9,0,800
"24",7,35.1,9.7,8.5,0,999.9,0,756
"25",1,34.1,6.4,10.3,0,1.2,0,646
"26",2,25.9,9,7.3,0.06,1.2,0,656
"27",3,29.3,5.8,6.1,0.04,1.2,0,675
"28",4,28.7,10,6.8,0,999.9,0,646
"29",5,36.1,9.3,12.7,0.03,999.9,0,703
"30",6,29.7,9.8,9.2,0,999.9,0,714
"31",7,30.3,10,6.5,0,999.9,0,636
"32",1,31.8,1.4,11.2,0.25,13,1,562
"33",2,18.1,5,14.2,0.21,16.9,1,474
"34",3,16.7,8.9,7.5,0,16.9,1,511
"35",4,25.4,4.5,6.4,0.05,16.1,0,577
"36",5,11.4,10,7.1,0,15,0,572
"37",6,20.2,9.8,9.4,0,14.2,0,696
"38",7,33.6,9.6,7.2,0,11,0,679
