day,crime_date,mo,da,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,NUM_CRIMES
3,2020-01-01,01,01,30.6,23.0,1009.1,10.0,10.1,15,25.1,42.1,21.9,0.0,1.2,0,908
4,2020-01-02,01,02,42.4,31.0,1002.3,10.0,13.2,18.1,27.0,48.9,37.0,0.0,999.9,0,635
5,2020-01-03,01,03,39.6,33.0,1008.2,9.8,5.5,9.9,999.9,46.0,36.0,0.0,999.9,0,696
6,2020-01-04,01,04,33.2,25.4,1014.8,8.1,8.5,13,999.9,36.0,30.2,0.0,1.2,1,637
7,2020-01-05,01,05,32.3,24.1,1017.9,9.9,12.2,20,31.1,43.0,25.0,0.01,999.9,0,621
1,2020-01-06,01,06,34.2,21.6,1020.1,10.0,9.7,15,28.0,42.1,26.1,0.0,999.9,0,691
2,2020-01-07,01,07,34.9,21.8,1017.2,10.0,7.8,15,22.9,42.1,28.0,0.0,999.9,0,625
3,2020-01-08,01,08,24.7,8.9,1025.8,10.0,10.4,17.1,28.0,37.0,17.1,0.0,999.9,0,646
4,2020-01-09,01,09,34.2,21.7,1022.1,9.8,13.7,20,39.0,50.0,21.9,0.0,999.9,1,630
5,2020-01-10,01,10,46.5,43.4,1016.8,5.1,10.1,24.1,38.1,50.0,39.2,0.02,999.9,1,623
6,2020-01-11,01,11,36.3,34.6,1011.3,2.6,15.9,27,44.1,39.9,30.9,1.42,999.9,1,560
7,2020-01-12,01,12,28.5,24.1,1024.3,7.8,7.6,24.1,35.9,32.0,25.0,0.04,1.2,1,574
1,2020-01-13,01,13,32.6,27.4,1026.6,8.0,7.6,15,20.0,34.0,30.9,0.0,1.2,1,648
2,2020-01-14,01,14,36.6,31.6,1021.5,7.9,8.4,15,22.0,43.0,34.0,0.0,1.2,0,662
3,2020-01-15,01,15,33.5,30.6,1020.4,4.7,5.8,15,24.1,37.4,28.9,0.0,999.9,1,652
4,2020-01-16,01,16,26.1,15.9,1033.3,8.9,12.3,15.9,21.0,37.0,17.1,0.0,999.9,0,674
5,2020-01-17,01,17,22.1,11.0,1041.7,8.9,7.8,12,18.1,28.0,17.1,0.0,1.2,1,581
6,2020-01-18,01,18,30.9,27.3,1013.0,4.8,14.5,26,40.0,37.4,17.1,0.42,1.2,1,561
7,2020-01-19,01,19,10.2,1.1,1024.2,9.6,14.9,25.1,35.0,19.9,3.0,0.04,1.2,1,503
1,2020-01-20,01,20,23.0,14.1,1035.7,9.7,6,11.1,999.9,32.0,17.1,0.0,1.2,1,617
2,2020-01-21,01,21,23.6,15.4,1037.4,10.0,6.5,12,999.9,30.9,17.1,0.0,999.9,0,585
3,2020-01-22,01,22,28.2,19.4,1026.5,9.9,10.3,15,24.1,35.1,24.1,0.0,999.9,0,633
4,2020-01-23,01,23,32.5,26.4,1020.0,4.8,8.3,12,19.0,35.1,30.0,0.01,1.2,1,592
5,2020-01-24,01,24,36.1,34.7,1013.4,2.5,4.8,9.9,999.9,39.0,34.0,0.16,1.2,1,657
6,2020-01-25,01,25,34.1,33.2,1010.2,4.1,7.9,12,20.0,37.9,33.1,0.3,999.9,1,663
