day,crime_date,mo,da,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,NUM_CRIMES
7,2017-01-01,01,01,29.9,18.8,1018.9,10.0,4.8,8.9,999.9,41.0,21.9,0.0,999.9,0,1203
1,2017-01-02,01,02,36.1,28.6,1020.2,7.3,6.1,8.9,999.9,39.9,30.9,0.0,999.9,0,613
2,2017-01-03,01,03,40.3,37.2,1010.3,3.6,6.6,15.9,21.0,42.8,37.0,0.09,999.9,1,717
3,2017-01-04,01,04,19.1,7.3,1017.3,9.8,14.2,19.0,26.0,37.0,10.9,0.01,999.9,0,612
4,2017-01-05,01,05,10.9,-1.9,1019.7,10.0,10.9,15.9,21.0,16.0,8.1,0.0,999.9,0,610
5,2017-01-06,01,06,5.9,-7.2,1025.0,10.0,8.7,11.1,999.9,10.9,1.0,0.0,999.9,0,601
6,2017-01-07,01,07,8.3,-5.4,1034.1,10.0,7.8,15.0,21.0,19.0,1.9,0.0,999.9,0,618
7,2017-01-08,01,08,10.9,-5.0,1039.9,10.0,9.0,15.9,22.9,19.9,3.9,0.0,999.9,0,590
1,2017-01-09,01,09,23.1,10.7,1028.9,9.3,10.4,17.1,21.0,30.0,16.0,0.0,999.9,0,713
2,2017-01-10,01,10,39.8,31.3,1009.4,8.9,17.9,34.0,46.0,52.0,28.0,0.0,999.9,0,705
3,2017-01-11,01,11,33.9,27.1,1012.2,7.7,11.6,25.1,40.0,45.0,27.0,0.24,999.9,1,662
4,2017-01-12,01,12,28.4,24.4,1017.7,5.0,11.8,18.1,22.9,41.0,23.0,0.45,999.9,0,644
5,2017-01-13,01,13,22.9,11.1,1038.7,10.0,8.8,14.0,21.0,28.9,18.0,0.03,999.9,0,799
6,2017-01-14,01,14,30.1,18.4,1035.0,10.0,5.4,11.1,22.0,35.1,28.0,0.0,999.9,0,685
7,2017-01-15,01,15,28.1,18.5,1031.3,9.5,2.5,7.0,999.9,35.1,21.9,0.0,999.9,0,656
1,2017-01-16,01,16,34.3,29.0,1024.6,5.9,4.8,7.0,999.9,37.0,32.0,0.0,999.9,1,652
2,2017-01-17,01,17,36.7,36.0,1012.9,4.0,7.7,13.0,999.9,39.9,35.1,0.96,999.9,1,705
3,2017-01-18,01,18,33.6,32.0,1019.5,4.4,9.1,14.0,21.0,36.0,32.0,0.43,999.9,0,707
4,2017-01-19,01,19,35.6,32.5,1016.7,4.5,6.3,12.0,999.9,42.1,32.0,0.0,999.9,0,738
5,2017-01-20,01,20,38.7,37.5,1005.7,1.9,7.0,17.1,22.0,42.8,37.0,0.86,999.9,0,783
6,2017-01-21,01,21,49.6,44.7,1000.2,4.9,7.1,14.0,21.0,60.1,41.0,0.01,999.9,0,786
7,2017-01-22,01,22,43.9,39.6,1002.8,5.3,4.5,9.9,999.9,51.1,39.2,0.0,999.9,1,742
1,2017-01-23,01,23,40.7,34.4,1007.1,9.2,9.6,17.1,22.0,43.0,39.0,0.0,999.9,0,789
2,2017-01-24,01,24,38.4,31.8,1011.1,9.5,6.6,9.9,999.9,43.0,37.0,0.0,999.9,0,735
3,2017-01-25,01,25,38.9,33.5,1003.1,5.3,9.9,17.1,22.9,44.6,36.0,0.03,999.9,0,748
4,2017-01-26,01,26,34.3,28.8,1007.5,7.6,11.5,15.9,25.1,37.9,32.0,0.02,999.9,0,674
5,2017-01-27,01,27,29.0,19.5,1013.7,9.7,11.7,15.9,25.1,33.1,26.1,0.0,999.9,0,784
6,2017-01-28,01,28,27.7,19.5,1009.9,9.5,11.8,15.0,21.0,30.0,26.1,0.0,999.9,0,730
7,2017-01-29,01,29,27.6,15.5,1011.1,9.8,9.0,14.0,999.9,30.0,25.0,0.0,999.9,0,633
