day,crime_date,mo,da,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,NUM_CRIMES
4,2015-01-01,01,01,22.3,7.3,1020.6,10.0,15.0,18.1,26.0,32.0,6.1,0.0,999.9,0,1222
5,2015-01-02,01,02,28.4,17.4,1024.5,10.0,5.1,15.0,17.1,36.0,17.1,0.0,999.9,0,673
6,2015-01-03,01,03,34.3,28.9,1017.5,4.9,4.9,8.9,999.9,37.0,19.9,0.08,999.9,0,648
7,2015-01-04,01,04,30.6,27.5,1013.0,2.9,9.2,18.1,26.0,37.0,16.0,0.54,2.0,0,514
1,2015-01-05,01,05,4.5,-5.8,1036.3,10.0,11.3,15.0,25.1,14.0,-0.9,0.03,1.2,0,523
2,2015-01-06,01,06,9.2,1.6,1029.7,6.7,8.0,15.9,24.1,12.0,-0.9,0.11,2.0,0,503
3,2015-01-07,01,07,5.4,-6.8,1035.8,10.0,15.4,21.0,28.9,12.0,1.0,0.0,2.0,0,474
4,2015-01-08,01,08,0.4,-7.8,1033.5,8.2,13.2,22.0,31.1,14.0,-7.1,0.0,3.1,0,448
5,2015-01-09,01,09,10.3,0.7,1021.1,7.1,15.0,22.0,35.0,19.9,-7.1,0.05,3.1,0,590
6,2015-01-10,01,10,8.0,-1.7,1031.8,10.0,11.6,15.9,22.0,21.0,0.0,0.0,2.0,0,647
7,2015-01-11,01,11,27.7,16.7,1026.4,9.2,10.0,14.0,999.9,34.0,21.9,0.0,3.1,0,649
1,2015-01-12,01,12,26.3,19.8,1032.2,6.8,8.7,17.1,25.1,34.0,19.9,0.15,3.9,0,607
2,2015-01-13,01,13,19.3,10.8,1040.2,8.3,9.1,15.0,17.1,30.0,17.1,0.03,3.1,0,612
3,2015-01-14,01,14,13.5,6.3,1030.9,9.8,5.3,8.9,999.9,23.0,5.0,0.0,3.1,0,675
4,2015-01-15,01,15,23.5,15.9,1021.0,9.7,9.1,17.1,19.0,36.0,5.0,0.0,3.1,0,763
5,2015-01-16,01,16,29.3,23.2,1020.5,8.5,6.0,12.0,999.9,36.0,17.1,0.0,3.1,0,710
6,2015-01-17,01,17,36.8,28.6,1010.6,8.3,12.1,19.0,27.0,44.1,21.9,0.0,1.2,0,741
7,2015-01-18,01,18,38.7,30.6,1008.8,10.0,10.9,14.0,21.0,44.1,30.0,0.0,999.9,0,698
1,2015-01-19,01,19,34.0,28.6,1016.2,10.0,4.5,8.9,999.9,43.0,27.0,0.0,999.9,0,708
2,2015-01-20,01,20,36.6,32.2,1012.8,6.7,4.3,9.9,999.9,43.0,27.0,0.0,999.9,0,793
3,2015-01-21,01,21,34.2,30.0,1017.6,5.7,7.2,11.1,999.9,39.9,33.1,0.01,999.9,0,745
